"InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"blue","Interneurons__cells_markers","User",6.73761358120123e-06
"blue","Neurons__cells_markers","User",1.03464779960939e-05
"turquoise","Fibroblasts__cells_markers","User",4.2287871154998e-05
"brown","Ependymal cells__cells_markers","User",0.000456147923066263
"blue","Immature neurons__cells_markers","User",0.00249433080801063
"blue","Purkinje neurons__cells_markers","User",0.0028235918209805
"black","Rare Single Gene Mutation, Syndromic__ASD_genes","User",0.0127573907632024
"blue","Neuroblasts__cells_markers","User",0.0175848846247236
"pink","Gamma delta T cells__cells_markers","User",0.0368214701521829
